pink-red,pink-orange,pink-yellow,pink-green,pink-blue,pink-purple,red-orange,red-yellow,red-green,red-blue,red-purple,orange-yellow,orange-green,orange-blue,orange-purple,yellow-green,yellow-blue,yellow-purple,green-blue,green-purple,blue-purple,average,var,std
6.11,2.11,3.52,0.5,4.4,0.73,2.37,2.27,2.31,1.48,4.19,0.06,0.35,0.94,2.68,0.04,0.51,5.08,0.85,0.9,4.62,2.19,3.16,1.78
6.35,1.91,2.92,1.85,4.79,1.47,2.82,1.9,1.47,1.15,5.02,0.65,0.28,2.48,1.13,0.85,1.83,1.16,2.62,0.02,3.0,2.17,2.44,1.56
2.81,3.24,2.95,3.56,1.84,0.41,0.43,0.8,0.41,1.52,2.31,0.08,0.08,1.94,2.75,0.25,2.03,2.29,2.0,2.92,0.91,1.69,1.24,1.11
0.08,0.07,2.21,0.24,4.72,3.42,0.77,4.48,2.1,5.72,3.18,4.75,0.12,5.45,2.34,2.16,0.7,2.39,3.78,1.66,0.75,2.43,3.27,1.81
1.61,0.92,0.83,2.08,0.8,2.16,1.5,2.44,3.33,0.84,2.88,1.26,1.63,0.19,1.04,1.58,0.92,1.96,0.46,0.7,1.2,1.44,0.62,0.78
1.07,0.67,0.08,0.38,1.0,0.05,0.51,0.76,0.89,0.18,0.4,0.19,1.26,1.82,0.58,0.71,1.0,0.0,2.01,0.66,1.21,0.73,0.28,0.53
2.96,0.08,1.62,1.35,1.56,0.08,4.18,1.73,0.84,1.24,3.38,1.68,1.24,1.98,1.1,0.58,0.2,2.14,0.13,0.02,2.07,1.44,1.2,1.1
0.94,0.43,0.09,0.06,1.32,1.04,0.36,0.88,0.13,0.35,0.11,0.13,0.6,0.7,0.39,0.23,1.31,0.59,0.53,0.04,0.48,0.51,0.15,0.39
0.13,0.6,0.1,0.24,1.63,0.91,1.53,0.2,0.27,0.06,2.45,1.61,1.18,2.25,2.01,0.05,1.6,1.81,1.03,2.42,3.19,1.2,0.86,0.93
1.09,0.17,1.33,0.66,1.77,0.1,0.3,0.28,0.52,0.9,1.14,1.06,0.58,0.32,0.61,0.04,1.51,0.42,0.76,0.19,1.31,0.72,0.24,0.49
0.75,0.79,2.51,1.27,3.51,2.88,2.17,4.07,2.23,4.57,4.25,1.83,0.88,2.71,2.1,2.51,2.98,1.9,1.6,1.13,0.49,2.24,1.33,1.15
0.78,1.71,0.59,3.38,1.06,2.67,0.18,0.18,0.24,1.39,0.28,1.45,2.93,0.33,2.37,2.65,0.35,2.12,2.31,0.19,1.6,1.37,1.06,1.03
2.0,0.42,1.65,0.95,2.11,0.25,2.08,0.43,0.91,0.04,2.58,1.81,1.19,2.14,0.08,0.78,0.48,2.31,1.19,1.25,2.79,1.31,0.7,0.84
1.69,1.01,0.39,1.68,1.16,1.13,1.15,2.11,1.03,0.46,2.71,0.68,0.55,0.0,0.22,1.99,1.65,0.42,1.13,2.33,2.21,1.22,0.56,0.75
2.85,0.59,2.83,0.9,2.23,3.63,2.4,0.97,2.01,0.41,0.2,1.88,0.37,2.28,2.32,0.46,1.27,0.1,2.12,0.5,0.37,1.46,1.07,1.04
1.23,0.38,0.95,0.66,0.93,2.74,1.67,0.12,0.9,0.11,0.93,0.92,0.82,0.12,2.0,0.61,0.09,0.09,0.56,2.26,1.62,0.94,0.54,0.73
2.31,1.55,0.39,0.17,1.84,0.5,0.35,0.75,0.06,1.8,3.15,0.24,0.59,1.45,3.11,0.67,1.96,2.3,2.04,2.97,2.77,1.47,1.05,1.03
2.2,2.74,1.53,2.98,0.21,2.2,0.37,1.17,0.44,2.31,0.45,1.07,2.01,3.26,0.88,2.14,2.42,1.47,2.78,0.85,2.16,1.7,0.83,0.91
1.32,0.17,2.29,1.13,1.55,0.07,1.62,0.05,0.27,0.36,1.46,2.12,1.36,2.34,1.94,0.76,0.79,2.15,1.19,1.64,1.49,1.24,0.53,0.72
1.93,1.6,0.78,0.8,0.75,3.15,0.88,3.19,1.67,2.61,4.92,1.86,0.53,1.03,2.75,0.79,0.27,2.11,0.28,0.26,2.12,1.63,1.38,1.17
0.95,2.26,1.85,1.93,1.42,3.11,0.96,0.24,1.28,1.64,2.12,1.18,1.1,0.45,2.13,0.44,1.12,1.12,0.0,1.16,1.33,1.32,0.53,0.72
2.06,0.37,0.38,0.61,0.5,2.16,2.55,2.07,0.61,2.64,1.39,0.46,1.77,0.0,3.21,1.81,0.64,2.91,1.07,1.08,2.94,1.49,0.96,0.98
0.76,1.3,1.62,0.05,3.18,0.04,0.68,0.37,0.15,2.68,2.11,0.4,0.91,4.31,1.25,0.84,0.62,1.28,3.37,1.71,4.99,1.55,1.89,1.37
0.78,2.59,0.22,1.02,4.36,0.81,2.22,0.97,1.55,3.82,1.57,1.35,1.06,1.67,2.38,0.22,2.36,0.99,2.34,1.3,3.28,1.76,1.17,1.08
